"Escenario","Prior","ESS_a","ESS_b","AR_a_pct","AR_b_pct","Rhat_a","Rhat_b"
"Prov1","Gamma",363.6,374.4,46.8,46.8,1.006,1.005
"Prov1","Jeffreys",399.1,391.1,43.6,43.6,1,1.002
"Prov1","TTB",319.4,313.6,50.2,50.2,1.009,1.007
"Prov2","Gamma",832,662,60.8,60.8,1,1.002
"Prov2","Jeffreys",711.3,604.9,60.6,60.6,1.003,1.002
"Prov2","TTB",684.6,519.7,64.4,64.4,1,1.004
"Prov3_Esce_1","Gamma",1805,1791.5,59.4,59.4,1.003,1.003
"Prov3_Esce_1","Jeffreys",1897.9,1993.9,70.3,70.3,1.001,1
"Prov3_Esce_1","TTB",1928.4,1879.9,67.4,67.4,1.001,1
"Prov3_Esce_2","Gamma",1889.7,1716.7,59,59,1,1.003
"Prov3_Esce_2","Jeffreys",1737.8,1909.7,63.8,63.8,1.001,1.004
"Prov3_Esce_2","TTB",1967.1,1630.1,75.5,75.5,1.002,1.007
"Prov3_Esce_3","Gamma",1855,2024.4,66.9,66.9,1.001,1
"Prov3_Esce_3","Jeffreys",1710.9,1754.9,56.8,56.8,1.002,1.004
"Prov3_Esce_3","TTB",1714.3,2053.8,71.3,71.3,1.009,1.003
"Prov3_Esce_4","Gamma",1892.9,1740.6,58.4,58.4,1,1.004
"Prov3_Esce_4","Jeffreys",1950.1,1944.1,68.2,68.2,1.001,1.001
"Prov3_Esce_4","TTB",1885.7,2104.2,69.4,69.4,1.002,1.001
"Prov3_Esce_5","Gamma",1993.8,1875.4,64,64,1.003,1.001
"Prov3_Esce_5","Jeffreys",1868.1,1922.5,60.9,60.9,1.002,1.002
"Prov3_Esce_5","TTB",1906.1,2004.9,67.2,67.2,1,1
"Prov3_Esce_6","Gamma",1676.6,1939.3,61.9,61.9,1,1
"Prov3_Esce_6","Jeffreys",1676.2,1798.5,67,67,1,1.004
"Prov3_Esce_6","TTB",1716.6,1785.8,65.2,65.2,1.002,1.004
"Prov3_Esce_7","Gamma",1758.2,1845.2,59.8,59.8,1,1.002
"Prov3_Esce_7","Jeffreys",2142.9,2103.7,70.8,70.8,1.002,1.003
"Prov3_Esce_7","TTB",1917.6,1963.5,61.3,61.3,1.001,1.002
"Prov3_Esce_8","Gamma",1894.3,1943.2,62.5,62.5,1,1.001
"Prov3_Esce_8","Jeffreys",1804.9,1947.2,68.5,68.5,1.003,1.001
"Prov3_Esce_8","TTB",1947.8,2059.7,68.7,68.7,1.003,1.002
"Prov3_Esce_9","Gamma",1911.7,1677.3,57.8,57.8,1,1.001
"Prov3_Esce_9","Jeffreys",1872.5,1912.8,61.9,61.9,1,1
"Prov3_Esce_9","TTB",1885,2026.7,61.6,61.6,1.003,1
"Prov3_Esce_10","Gamma",1900.3,1712.5,61.3,61.3,1,1.002
"Prov3_Esce_10","Jeffreys",2130,1908.1,66.1,66.1,1.002,1
"Prov3_Esce_10","TTB",1684.6,1746.2,62,62,1.002,1.001
"Prov3_Esce_11","Gamma",1987,2101.2,74.5,74.5,1.003,1.002
"Prov3_Esce_11","Jeffreys",2020.7,2130.8,70.8,70.8,1.001,1
"Prov3_Esce_11","TTB",1730.8,1980.1,61.2,61.2,1,1.001
"Prov3_Esce_12","Gamma",1749.1,1811.5,60.3,60.3,1.001,1.003
"Prov3_Esce_12","Jeffreys",1646.9,1936.4,64.4,64.4,1.002,1.001
"Prov3_Esce_12","TTB",2078.3,2247,68.6,68.6,1.002,1.003
"Prov3_Esce_13","Gamma",1744.5,1767,59.4,59.4,1.001,1.001
"Prov3_Esce_13","Jeffreys",1671.7,1675.2,54.7,54.7,1.001,1.001
"Prov3_Esce_13","TTB",1677.8,1702.8,56,56,1.001,1.001
"Prov3_Esce_14","Gamma",2110.1,2073.2,69.1,69.1,1.001,1.002
"Prov3_Esce_14","Jeffreys",1976.5,1990.2,75.6,75.6,1,1
"Prov3_Esce_14","TTB",1998.4,1989,61.7,61.7,1,1
"Prov3_Esce_15","Gamma",1962.7,1997,57.9,57.9,1.001,1
"Prov3_Esce_15","Jeffreys",1937.4,1939.1,75.7,75.7,1,1
"Prov3_Esce_15","TTB",1848.2,1875.4,65.8,65.8,1.004,1.005
"Prov3_Esce_16","Gamma",1818.4,1868.7,65.2,65.2,1.001,1
"Prov3_Esce_16","Jeffreys",1884.8,1793.9,59.3,59.3,1.001,1.001
"Prov3_Esce_16","TTB",1623.3,1906.2,67.8,67.8,1.001,1
"Prov3_Esce_17","Gamma",1872.4,1953.9,69.6,69.6,1.003,1.003
"Prov3_Esce_17","Jeffreys",1777.9,1783.3,58.9,58.9,1.001,1.001
"Prov3_Esce_17","TTB",1662.1,1674.7,58.8,58.8,1,1
"Prov3_Esce_18","Gamma",1607.4,1568.3,64.2,64.2,1.003,1.003
"Prov3_Esce_18","Jeffreys",1817.1,1788.1,56.1,56.1,1,1
"Prov3_Esce_18","TTB",1875.9,1862.8,64.8,64.8,1,1
"Prov3_Esce_19","Gamma",1741.6,1791.5,58,58,1,1.001
"Prov3_Esce_19","Jeffreys",2000.7,1823.7,69.9,69.9,1,1.001
"Prov3_Esce_19","TTB",1753.9,2034.1,63,63,1.002,1.005
"Prov3_Esce_20","Gamma",1902,1852.8,67.4,67.4,1,1.002
"Prov3_Esce_20","Jeffreys",2079.2,2112.6,72.8,72.8,1,1
"Prov3_Esce_20","TTB",1836.6,1907.1,62.1,62.1,1.005,1.001
"Prov3_Esce_21","Gamma",1570.7,1700.8,63.8,63.8,1,1.003
"Prov3_Esce_21","Jeffreys",1923,2000.8,72.6,72.6,1.001,1
"Prov3_Esce_21","TTB",1874.4,1873.2,67.1,67.1,1,1.003
"Prov3_Esce_22","Gamma",1890.1,2130.3,66.3,66.3,1.001,1.003
"Prov3_Esce_22","Jeffreys",1826.6,1782.9,65.3,65.3,1,1
"Prov3_Esce_22","TTB",1788.5,1986,63.8,63.8,1,1.009
"Prov3_Esce_23","Gamma",1719.1,1678.3,59.4,59.4,1.001,1
"Prov3_Esce_23","Jeffreys",1651,1778,65.6,65.6,1,1
"Prov3_Esce_23","TTB",1921.3,1971.1,62.1,62.1,1.002,1.001
"Prov3_Esce_24","Gamma",1877,2320.1,66.1,66.1,1,1
"Prov3_Esce_24","Jeffreys",1778.7,1794,62.4,62.4,1.002,1.002
"Prov3_Esce_24","TTB",1719.1,1707.6,57.9,57.9,1,1.001
"Prov3_Esce_25","Gamma",1725.3,1879.6,57.8,57.8,1.002,1
"Prov3_Esce_25","Jeffreys",2088.2,1944.2,70.9,70.9,1.001,1
"Prov3_Esce_25","TTB",1815.9,1902.5,59.3,59.3,1.001,1
"Prov3_Esce_26","Gamma",1847.5,1880.3,67.1,67.1,1,1.004
"Prov3_Esce_26","Jeffreys",1945.9,1775.7,61.2,61.2,1.005,1.001
"Prov3_Esce_26","TTB",1829.1,1705,67.8,67.8,1.002,1.006
"Prov3_Esce_27","Gamma",1916,1933.8,67.5,67.5,1.004,1
"Prov3_Esce_27","Jeffreys",1888,1838.2,66.8,66.8,1.005,1.001
"Prov3_Esce_27","TTB",2119.7,2157.6,66.6,66.6,1.005,1.007
"Prov3_Esce_28","Gamma",1785.3,1853.7,61.9,61.9,1.002,1.002
"Prov3_Esce_28","Jeffreys",1787.9,1878.9,71,71,1.002,1.004
"Prov3_Esce_28","TTB",2253.4,1709.5,58.1,58.1,1,1
"Prov3_Esce_29","Gamma",1914.5,1871.4,61.4,61.4,1.002,1.005
"Prov3_Esce_29","Jeffreys",1822.5,1942.1,62.1,62.1,1.002,1.002
"Prov3_Esce_29","TTB",1683.4,1756.9,65.1,65.1,1.001,1.001
"Prov3_Esce_30","Gamma",2102.4,1857.9,64.1,64.1,1.002,1.001
"Prov3_Esce_30","Jeffreys",2026.8,2040.5,63,63,1.001,1.001
"Prov3_Esce_30","TTB",1519.1,2091.5,67.4,67.4,1,1.001
"Prov3_Esce_31","Gamma",1929.5,1943.7,69.1,69.1,1.001,1.001
"Prov3_Esce_31","Jeffreys",1772.7,1697.7,63.5,63.5,1,1
"Prov3_Esce_31","TTB",1797.5,1816.9,67.2,67.2,1.001,1
"Prov3_Esce_32","Gamma",2221.9,2194.1,60.3,60.3,1.003,1.004
"Prov3_Esce_32","Jeffreys",1717.3,1772.9,64,64,1,1
"Prov3_Esce_32","TTB",1951.4,1957.9,68.7,68.7,1.001,1
"Prov3_Esce_33","Gamma",1540.7,1624.1,67.7,67.7,1.001,1.001
"Prov3_Esce_33","Jeffreys",2111.9,2074,75.2,75.2,1,1
"Prov3_Esce_33","TTB",1796.1,1802.8,64.6,64.6,1.004,1.003
"Prov3_Esce_34","Gamma",1937.8,2047.1,70.3,70.3,1,1
"Prov3_Esce_34","Jeffreys",1947.3,1938.5,67.2,67.2,1,1
"Prov3_Esce_34","TTB",1882.3,1810.5,58.5,58.5,1,1
"Prov3_Esce_35","Gamma",1677.2,1733.2,60.5,60.5,1,1.001
"Prov3_Esce_35","Jeffreys",1900.3,1864.9,60.6,60.6,1.001,1.001
"Prov3_Esce_35","TTB",1953.1,1964.2,66,66,1.001,1.002
"Prov3_Esce_36","Gamma",1703.3,1704.2,63.7,63.7,1,1.001
"Prov3_Esce_36","Jeffreys",1771.4,1858.6,62.1,62.1,1.002,1.002
"Prov3_Esce_36","TTB",1844,1823.9,61.5,61.5,1.001,1.002
"Prov3_Esce_37","Gamma",1955.2,1884.8,70,70,1.001,1.002
"Prov3_Esce_37","Jeffreys",1825.8,1872.7,66.7,66.7,1.004,1.002
"Prov3_Esce_37","TTB",1849.2,2068.9,64.7,64.7,1.001,1
"Prov3_Esce_38","Gamma",1823.9,1890,60.3,60.3,1,1.001
"Prov3_Esce_38","Jeffreys",1992.5,1994.7,66.8,66.8,1.001,1.001
"Prov3_Esce_38","TTB",1978.9,1836.3,67.2,67.2,1,1.003
"Prov3_Esce_39","Gamma",1925.4,1760.2,55,55,1.002,1.001
"Prov3_Esce_39","Jeffreys",1825.4,2101,66.8,66.8,1.001,1.001
"Prov3_Esce_39","TTB",1922.2,2108.6,61.2,61.2,1.001,1
"Prov3_Esce_40","Gamma",1756.7,1992.8,69.9,69.9,1.002,1.001
"Prov3_Esce_40","Jeffreys",1837,2008.2,73.7,73.7,1,1.001
"Prov3_Esce_40","TTB",1861.6,1859.2,58.5,58.5,1.001,1.001
"Prov3_Esce_41","Gamma",1856.4,1825.3,65.7,65.7,1.001,1.015
"Prov3_Esce_41","Jeffreys",1743.6,2084.6,70.2,70.2,1.001,1
"Prov3_Esce_41","TTB",1912.4,1926.9,64.6,64.6,1.002,1.001
"Prov3_Esce_42","Gamma",1929.3,1987.4,66.2,66.2,1,1.001
"Prov3_Esce_42","Jeffreys",1767.1,1749.2,62.4,62.4,1.002,1.001
"Prov3_Esce_42","TTB",1999.2,1954.4,72.5,72.5,1,1.001
"Prov3_Esce_43","Gamma",2040.4,1875.1,61.1,61.1,1.001,1
"Prov3_Esce_43","Jeffreys",1958.5,1893.1,74.9,74.9,1,1.001
"Prov3_Esce_43","TTB",1835.6,1960.5,63.6,63.6,1.001,1.001
"Prov3_Esce_44","Gamma",1794.6,2025.9,67.4,67.4,1,1
"Prov3_Esce_44","Jeffreys",1788.7,2070.3,66.3,66.3,1.002,1
"Prov3_Esce_44","TTB",1787.6,1984.2,66.7,66.7,1.003,1.007
"Prov3_Esce_45","Gamma",1829.1,1842.9,57.7,57.7,1.001,1
"Prov3_Esce_45","Jeffreys",1578.1,1824.8,74,74,1.003,1.003
"Prov3_Esce_45","TTB",2130.7,2122.4,67.2,67.2,1.002,1
"Prov3_Esce_46","Gamma",2003.6,1752.2,67.4,67.4,1.002,1.001
"Prov3_Esce_46","Jeffreys",1793.7,1661.5,55.5,55.5,1,1
"Prov3_Esce_46","TTB",2102.9,2191.7,66.1,66.1,1.002,1.004
"Prov3_Esce_47","Gamma",2463.2,1944.3,64.4,64.4,1,1
"Prov3_Esce_47","Jeffreys",1857,1796.3,59.8,59.8,1.001,1
"Prov3_Esce_47","TTB",2113.8,2284.8,64.9,64.9,1,1
"Prov3_Esce_48","Gamma",1804,1804.8,57.4,57.4,1,1.001
"Prov3_Esce_48","Jeffreys",1885.9,1807.8,61.3,61.3,1.001,1
